# z mu sigma
0.015060 10.189836 0.085059
0.045181 11.922604 0.054195
0.075301 12.838254 0.027836
0.105422 13.649329 0.024068
0.135542 14.203172 0.021646
0.165663 14.562400 0.013782
0.195783 15.026194 0.012649
0.225904 15.337496 0.011045
0.256024 15.628859 0.010508
0.286145 15.933415 0.009769
0.316265 16.177157 0.008145
0.346386 16.416454 0.008413
0.376506 16.612184 0.007325
0.406627 16.813487 0.006597
0.436747 16.987606 0.007038
0.466867 17.169148 0.006537
0.496988 17.326843 0.006423
0.527108 17.485497 0.006261
0.557229 17.617426 0.005906
0.587349 17.764791 0.005581
0.617470 17.891185 0.005648
0.647590 18.024945 0.005303
0.677711 18.142114 0.005198
0.707831 18.246821 0.005142
0.737952 18.364196 0.004848
0.768072 18.473515 0.004794
0.798193 18.567057 0.004723
0.828313 18.669107 0.004495
0.858434 18.763659 0.004428
0.888554 18.846860 0.004500
0.918675 18.942164 0.004526
0.948795 19.027932 0.004181
0.978916 19.120877 0.004037
1.009036 19.193201 0.004088
1.039157 19.265601 0.004073
1.069277 19.346673 0.004085
1.099398 19.424356 0.003999
1.129518 19.496896 0.003872
1.159639 19.562764 0.003865
1.189759 19.632495 0.003810
1.219880 19.695773 0.003668
1.250000 19.761948 0.003654
1.280120 19.836358 0.003685
1.310241 19.891818 0.003654
1.340361 19.953729 0.003628
1.370482 20.017903 0.003678
1.400602 20.067925 0.003622
1.430723 20.130874 0.003528
1.460843 20.183147 0.003459
1.490964 20.232597 0.003469
1.521084 20.288581 0.003445
1.551205 20.334130 0.003521
1.581325 20.397495 0.003304
1.611446 20.442360 0.003373
1.641566 20.495420 0.003370
1.671687 20.535795 0.003356
1.701807 20.590150 0.003370
1.731928 20.628338 0.003287
1.762048 20.681811 0.003305
1.792169 20.725197 0.003310
1.822289 20.767264 0.003277
1.852410 20.809106 0.003269
1.882530 20.855993 0.003190
1.912651 20.899895 0.003256
1.942771 20.936851 0.003233
1.972892 20.982205 0.003225
2.003012 21.025028 0.003196
2.033133 21.059014 0.003195
2.063253 21.101273 0.003090
2.093373 21.134812 0.003222
2.123494 21.176047 0.003161
2.153614 21.213990 0.003153
2.183735 21.246944 0.003158
2.213855 21.281280 0.003168
2.243976 21.318349 0.003132
2.274096 21.359236 0.003121
2.304217 21.385190 0.003080
2.334337 21.420401 0.003135
2.364458 21.459555 0.003101
2.394578 21.490361 0.003152
2.424699 21.521286 0.003136
2.454819 21.555423 0.003065
2.484940 21.587118 0.003116
