# z mu sigma
0.010080 8.291810 0.237511
0.024931 10.276503 0.132621
0.028729 10.641159 0.125361
0.045753 11.595216 0.110720
0.050643 11.941551 0.108841
0.054793 11.957477 0.107609
0.059393 12.173327 0.106524
0.062758 12.459776 0.105873
0.065018 12.451073 0.105490
0.066468 12.491391 0.105265
0.066562 12.493317 0.105251
0.072869 12.760736 0.104423
0.074825 12.847884 0.104207
0.077746 12.724326 0.103915
0.078496 12.935431 0.103846
0.079911 12.958291 0.103719
0.082462 13.067774 0.103508
0.085345 13.014147 0.103293
0.086062 13.184737 0.103243
0.086671 13.120320 0.103201
0.088370 13.164568 0.103089
0.093526 13.053335 0.102789
0.098808 13.582040 0.102531
0.100882 13.589151 0.102441
0.104047 13.445293 0.102315
0.104892 13.490783 0.102283
0.106923 13.604244 0.102211
0.109753 13.430096 0.102117
0.110398 13.652255 0.102097
0.110574 13.736341 0.102091
0.113026 13.568875 0.102018
0.113618 13.678822 0.102002
0.115195 13.469488 0.101958
0.115783 13.887497 0.101943
0.118237 13.841729 0.101880
0.118704 13.799748 0.101869
0.119687 13.843493 0.101845
0.120099 13.970638 0.101836
0.120168 14.027269 0.101834
0.125332 13.913668 0.101724
0.125388 13.907510 0.101723
0.125901 13.964254 0.101712
0.126235 13.849362 0.101706
0.127774 14.156766 0.101677
0.130839 14.118914 0.101623
0.133902 14.194978 0.101574
0.135509 14.305121 0.101550
0.137506 14.118823 0.101521
0.137629 14.233007 0.101520
0.139520 14.053452 0.101494
0.139884 14.396191 0.101490
0.140260 14.201443 0.101485
0.140961 14.303632 0.101476
0.142179 14.381509 0.101461
0.142544 14.423593 0.101457
0.145512 14.484517 0.101424
0.147204 14.202028 0.101406
0.147544 14.420123 0.101402
0.147655 14.182657 0.101401
0.148243 14.206436 0.101395
0.149421 14.444758 0.101384
0.150829 14.209889 0.101371
0.151106 14.366128 0.101369
0.151214 14.266104 0.101368
0.152127 14.539272 0.101360
0.153326 14.457120 0.101349
0.153872 14.296557 0.101345
0.154982 14.372392 0.101336
0.154985 14.439337 0.101336
0.155097 14.372672 0.101335
0.155867 14.578339 0.101329
0.156538 14.431784 0.101324
0.156810 14.565254 0.101322
0.157025 14.357416 0.101320
0.157607 14.468464 0.101316
0.158465 14.429220 0.101310
0.159371 14.660892 0.101304
0.160002 14.356736 0.101300
0.160045 14.298309 0.101299
0.161536 14.507419 0.101290
0.161870 14.437839 0.101288
0.161990 14.612772 0.101287
0.162247 14.506105 0.101286
0.162253 14.604950 0.101285
0.162456 14.526679 0.101284
0.162674 14.680827 0.101283
0.162743 14.457368 0.101283
0.163500 14.511501 0.101278
0.164116 14.595028 0.101275
0.165831 14.495118 0.101265
0.167886 14.612928 0.101255
0.167900 14.583617 0.101255
0.167955 14.464672 0.101255
0.168110 14.645962 0.101254
0.169660 14.583817 0.101247
0.169841 14.787689 0.101246
0.170208 14.512716 0.101244
0.170384 14.688694 0.101243
0.170599 14.835564 0.101243
0.170607 14.734619 0.101243
0.170611 14.746573 0.101243
0.171243 14.766815 0.101240
0.171911 14.594813 0.101237
0.171987 14.548304 0.101237
0.172762 14.689407 0.101234
0.173026 14.724786 0.101233
0.173075 14.783602 0.101233
0.175204 14.738260 0.101225
0.175584 14.809677 0.101224
0.176031 14.843009 0.101222
0.176147 14.650187 0.101222
0.177795 14.434427 0.101217
0.179766 14.749228 0.101211
0.180512 14.792050 0.101209
0.180544 14.640819 0.101209
0.180934 14.855562 0.101208
0.181087 14.834538 0.101208
0.181131 14.893775 0.101208
0.183432 14.734219 0.101202
0.184433 14.867401 0.101200
0.184498 14.938160 0.101200
0.185109 14.909572 0.101199
0.185169 14.871290 0.101199
0.185230 15.009313 0.101199
0.185349 14.899631 0.101199
0.185487 14.918453 0.101198
0.185712 14.984456 0.101198
0.186408 14.891123 0.101197
0.186556 14.890387 0.101197
0.187535 14.934496 0.101195
0.187677 14.846898 0.101195
0.187896 14.975814 0.101195
0.188389 14.830893 0.101194
0.189056 14.995347 0.101193
0.189891 14.791750 0.101192
0.192704 15.015612 0.101189
0.193359 15.164927 0.101189
0.193368 14.896168 0.101189
0.193389 14.857057 0.101189
0.193744 14.931255 0.101189
0.194149 14.999037 0.101189
0.194769 15.043565 0.101188
0.194829 14.990413 0.101188
0.195598 15.145104 0.101188
0.196146 15.100630 0.101188
0.196414 15.097072 0.101188
0.196611 14.939677 0.101188
0.197303 15.317868 0.101187
0.197908 14.996252 0.101187
0.198224 14.928961 0.101187
0.198669 15.005169 0.101187
0.198765 15.259429 0.101187
0.199248 15.021559 0.101187
0.199565 15.038408 0.101187
0.200068 15.141716 0.101187
0.200872 15.081611 0.101188
0.201901 15.034962 0.101188
0.202523 14.926861 0.101188
0.202981 15.039990 0.101188
0.203187 15.163497 0.101188
0.203335 14.965610 0.101189
0.203412 15.068794 0.101189
0.204008 15.128541 0.101189
0.204393 15.166288 0.101189
0.204468 15.233166 0.101189
0.204929 15.084702 0.101190
0.205346 15.223289 0.101190
0.206469 15.324481 0.101191
0.206568 15.180638 0.101191
0.207018 15.163677 0.101191
0.207602 15.300849 0.101192
0.208417 15.151392 0.101193
0.208432 15.114588 0.101193
0.208615 15.003624 0.101193
0.208637 15.184869 0.101193
0.209264 14.955568 0.101194
0.209961 15.174779 0.101194
0.210151 15.101062 0.101195
0.210469 15.140158 0.101195
0.211005 14.976850 0.101196
0.211428 15.211860 0.101196
0.212773 15.195422 0.101198
0.212778 15.194098 0.101198
0.212885 15.025622 0.101199
0.213337 15.239425 0.101199
0.213666 15.178053 0.101200
0.214962 15.288821 0.101202
0.215330 15.162906 0.101203
0.216332 15.154232 0.101204
0.217229 15.252386 0.101206
0.217276 15.157055 0.101206
0.217744 15.275151 0.101207
0.218110 15.150033 0.101208
0.218156 15.436438 0.101208
0.218312 15.224165 0.101208
0.218784 15.156173 0.101209
0.219641 15.141784 0.101211
0.219688 15.391741 0.101211
0.219759 15.124317 0.101211
0.219870 15.129824 0.101212
0.220833 15.416800 0.101214
0.221227 15.447840 0.101215
0.221937 15.038398 0.101216
0.222056 15.316885 0.101217
0.222670 15.410733 0.101218
0.222787 15.283122 0.101218
0.222917 15.275691 0.101219
0.223449 15.352128 0.101220
0.223684 15.456687 0.101221
0.224114 15.220628 0.101222
0.224443 15.475137 0.101222
0.224501 15.363898 0.101223
0.224547 15.294926 0.101223
0.224682 15.239569 0.101223
0.225028 15.642761 0.101224
0.225057 15.362276 0.101224
0.225736 15.333284 0.101226
0.225914 15.409095 0.101226
0.226102 15.438876 0.101227
0.226645 15.223739 0.101228
0.226830 15.409316 0.101229
0.227165 15.299013 0.101230
0.227618 15.216599 0.101231
0.227680 15.351638 0.101231
0.227683 15.534559 0.101231
0.228125 15.502510 0.101233
0.228747 15.165351 0.101234
0.229087 15.419935 0.101235
0.229284 15.420728 0.101236
0.229389 15.288528 0.101236
0.229620 15.352242 0.101237
0.229643 15.504779 0.101237
0.229925 15.382296 0.101238
0.229972 15.559187 0.101238
0.230282 15.428864 0.101239
0.230398 15.413399 0.101239
0.231049 15.481490 0.101241
0.231288 15.258759 0.101242
0.231651 15.327562 0.101243
0.231797 15.325849 0.101244
0.231860 15.298201 0.101244
0.232309 15.441771 0.101245
0.232814 15.324134 0.101247
0.232956 15.405101 0.101247
0.233035 15.322024 0.101248
0.233419 15.315192 0.101249
0.233456 15.474292 0.101249
0.233530 15.398158 0.101249
0.234602 15.443818 0.101253
0.235418 15.583360 0.101256
0.235755 15.355618 0.101257
0.235911 15.503714 0.101257
0.236653 15.394443 0.101260
0.237576 15.318832 0.101263
0.237770 15.332865 0.101264
0.237958 15.402131 0.101265
0.238188 15.469295 0.101266
0.238801 15.425760 0.101268
0.239003 15.462297 0.101269
0.239241 15.522364 0.101270
0.239311 15.406386 0.101270
0.240410 15.491609 0.101274
0.240483 15.549764 0.101274
0.241299 15.399924 0.101277
0.241388 15.748934 0.101278
